movie_title,release_date,imdb_rating,genre,budget,revenue,country,release_year,profit,rating_category
Creed III,2023-03-02,7.3,"Drama, Action",75000000.0,271616668.0,AU,2023,196616668.0,Medium
The Super Mario Bros. Movie,2023-04-05,7.6,"Animation, Adventure, Family, Fantasy, Comedy",100000000.0,724459031.0,AU,2023,624459031.0,High
Mummies,2023-01-05,7.0,"Animation, Comedy, Family, Adventure, Fantasy",12300000.0,34200000.0,AU,2023,21900000.0,Medium
Supercell,2023-03-17,6.1,Action,77000000.0,340941958.6,US,2023,263941958.60000002,Medium
Cocaine Bear,2023-02-23,6.6,"Thriller, Comedy, Crime",35000000.0,80000000.0,AU,2023,45000000.0,Medium
John Wick: Chapter 4,2023-03-23,8.0,"Action, Thriller, Crime",100000000.0,351349364.0,AU,2023,251349364.0,High
Puss in Boots: The Last Wish,2022-12-26,8.3,"Animation, Family, Fantasy, Adventure, Comedy",90000000.0,483480577.0,AU,2022,393480577.0,High
Attack on Titan,2022-09-30,5.9,"Action, Science Fiction",71000000.0,254946484.2,US,2022,183946484.2,Low
The Park,2023-03-02,5.8,"Action, Drama, Horror, Science Fiction, Thriller",119200000.0,488962491.0,US,2023,369762491.0,Low
Winnie the Pooh: Blood and Honey,2023-02-14,5.8,"Horror, Thriller",100000.0,3200000.0,AU,2023,3100000.0,Low
The Exorcist,2022-11-02,5.5,Horror,12000000.0,428214478.0,MX,2022,416214478.0,Low
Murder Mystery 2,2023-03-31,6.5,"Comedy, Mystery, Action",43800000.0,489543087.4,AU,2023,445743087.4,Medium
Black Panther: Wakanda Forever,2022-11-10,7.3,"Action, Adventure, Science Fiction",250000000.0,854041058.0,AU,2022,604041058.0,Medium
The Pope's Exorcist,2023-04-06,7.2,"Horror, Mystery",92000000.0,462216471.8,AU,2023,370216471.8,Medium
Prizefighter: The Life of Jem Belcher,2022-07-22,6.2,"Drama, History",77600000.0,562112551.0,GB,2022,484512551.0,Medium
Knock at the Cabin,2023-02-02,6.4,"Thriller, Mystery, Horror, Fantasy",20000000.0,54629497.0,AU,2023,34629497.0,Medium
The Devil Conspiracy,2023-01-13,6.5,"Horror, Thriller",54060000.0,492646395.4,US,2023,438586395.4,Medium
Cazadora,2023-01-19,5.7,Thriller,110400000.0,318117812.6,CL,2023,207717812.60000002,Low
Gold Run,2022-12-15,6.5,"War, Action, Adventure, Thriller",123500000.0,420430064.8,NO,2022,296930064.8,Medium
The Magician's Elephant,2023-03-17,7.3,"Animation, Adventure, Family, Fantasy",82600000.0,473097256.6,AU,2023,390497256.6,Medium
Plane,2023-01-27,6.9,"Action, Adventure, Thriller",25000000.0,51000000.0,GB,2023,26000000.0,Medium
The Passion of the Christ,2004-02-25,7.4,Drama,25000000.0,622313635.0,AU,2004,597313635.0,Medium
Batman: The Doom That Came to Gotham,2023-03-28,6.4,"Animation, Fantasy, Horror, Action, Mystery",145760000.0,321934831.2,US,2023,176174831.2,Medium
Shazam! Fury of the Gods,2023-03-16,6.9,"Action, Comedy, Fantasy",125000000.0,132107025.0,AU,2023,7107025.0,Medium
Consecration,2023-02-10,6.5,"Horror, Thriller",54060000.0,492646395.4,US,2023,438586395.4,Medium
Shark Side of the Moon,2022-08-12,5.3,"Action, Science Fiction, Thriller, Horror",10000.0,17887093.8,US,2022,17877093.8,Low
Black Adam,2022-10-20,7.1,"Action, Adventure, Science Fiction, Fantasy",200000000.0,391261706.0,AU,2022,191261706.0,Medium
Money Shot: The Pornhub Story,2023-03-15,5.8,Documentary,68500000.0,280052393.0,US,2023,211552393.0,Low
M3GAN,2023-01-12,7.4,"Science Fiction, Horror, Comedy",12000000.0,167643991.0,AU,2023,155643991.0,Medium
Ant-Man and the Wasp: Quantumania,2023-02-16,6.3,"Science Fiction, Adventure, Action",200000000.0,466001332.0,AU,2023,266001332.0,Medium
Sayen,2023-03-03,6.2,"Thriller, Action",73800000.0,370426090.8,CL,2023,296626090.8,Medium
Die Hart,2023-02-24,6.2,"Action, Comedy, Thriller",113000000.0,369995579.2,US,2023,256995579.2,Medium
13 Exorcisms,2022-11-04,5.5,"Drama, Horror",2480000.0,1891519.0,ES,2022,-588481.0,Low
H.P. Lovecraft's Witch House,2022-06-29,6.0,Horror,146740000.0,301123555.2,US,2022,154383555.2,Low
John Wick: Chapter 2,2017-05-18,7.3,"Action, Thriller, Crime",40000000.0,171539887.0,AU,2017,131539887.0,Medium
Sick,2022-09-24,6.3,"Horror, Thriller",81800000.0,408307377.8,US,2022,326507377.8,Medium
Black Warrant,2023-03-01,5.4,"Action, Thriller",116000000.0,378399280.8,AU,2023,262399280.8,Low
Shotgun Wedding,2023-01-26,6.3,"Action, Comedy, Romance",16050000.0,4495365.0,AU,2023,-11554635.0,Medium
John Wick: Chapter 3 - Parabellum,2019-05-16,7.4,"Action, Thriller, Crime",55000000.0,326709727.0,AU,2019,271709727.0,Medium
Legion of Super-Heroes,2023-02-07,6.3,"Animation, Action, Science Fiction",113400000.0,778431865.2,US,2023,665031865.2,Medium
Fall,2022-09-22,7.3,"Thriller, Drama",3000000.0,16120263.0,AU,2022,13120263.0,Medium
Lord of the Streets,2022-04-22,5.2,Action,1000000.0,22790427.2,US,2022,21790427.2,Low
Little Dixie,2023-02-03,6.0,"Thriller, Action, Drama, Crime",141340000.0,748525217.4,US,2023,607185217.4,Low
The Whale,2023-02-02,8.1,Drama,3000000.0,36752010.0,AU,2023,33752010.0,High
Prey for the Devil,2022-10-28,7.1,"Horror, Thriller",27240305.0,37655699.0,US,2022,10415394.0,Medium
Bandit,2022-09-23,6.2,"Crime, Drama, Thriller",115000000.0,484414431.0,US,2022,369414431.0,Medium
Roald Dahl's Matilda the Musical,2022-12-08,6.8,"Family, Comedy, Fantasy",25000000.0,13276499.0,AU,2022,-11723501.0,Medium
The Simpsons Meet the Bocellis in Feliz Navidad,2022-12-15,5.2,"Animation, Family, Comedy",97200000.0,425726914.4,US,2022,328526914.4,Low
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2021-02-25,8.3,"Animation, Action, Adventure, Fantasy, Thriller",15800000.0,503063688.0,AU,2021,487263688.0,High
Huesera: The Bone Woman,2023-02-23,5.8,"Drama, Horror, Mystery",135000000.0,670271186.2,MX,2023,535271186.20000005,Low
